...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,2162.33710108691
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,8433.389217040327
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,6053.735663620203
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2192.8883537321676
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,5121.335975332962
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,6210.178040800704
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,3030.8204123063415
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,2769.1290895144252
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,3596.573232885554
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,12475.923645837987
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,5585.40882545993
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,7783.668675579551
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,6945.134323622613
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1088.9984755744124
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5680.693269535358
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,6385.489142074383
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2615.259864632049
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2425.3510698627097
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,3801.05426230964
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4937.530150114146
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4269.445133150326
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5873.889091838086
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3785.556927074662
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,914.0761776077384
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,3876.90766013122
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4601.385934558856
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2330.771650741789
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1353.3613368443296
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1903.9980153433617
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4929.186376677201
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4508.67480055955
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5805.093496765304
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4270.437744845502
