...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4756.958004016287,1.23682767504883,FALSE
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4538.487258935194,1.180024427368969,FALSE
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,6015.943464753335,1.5641688159647236,FALSE
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3842.465489935363,0.9990560468180762,FALSE
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,957.3679365620457,0.24891940566736112,FALSE
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,4192.443092524979,1.0900515914843554,FALSE
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4826.224471626575,1.2548372273763775,FALSE
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2435.7294133797773,0.6332991682615338,FALSE
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1233.75045279112,0.3207799402113153,FALSE
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1889.7426212434168,0.4913404681520864,FALSE
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4467.8516568157,1.161658894717353,FALSE
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4330.392448910909,1.1259189633613487,FALSE
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5345.728964281867,1.389910426106695,FALSE
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3419.236555580783,0.8890148695679907,FALSE
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,908.1459883700106,0.23612150673860693,FALSE
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,3771.5100281685463,0.9806073494078883,FALSE
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4311.252031582051,1.1209423800397538,FALSE
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2263.8088843995447,0.5885991587234513,FALSE
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1010.5832033739276,0.2627555830463653,FALSE
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,3306.873985416817,0.8598001621223765,FALSE
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4638.564418867413,1.2060448801330992,FALSE
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4636.7877750738,1.2055829458022118,FALSE
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5454.956870021136,1.418310108549107,FALSE
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,4240.555873946222,1.1025611027171909,FALSE
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,922.1422825555368,0.2397605979355795,FALSE
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,4074.782074655757,1.0594592669247942,FALSE
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4556.33020662119,1.1846636635118688,FALSE
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,3564.9091092231683,0.9268903029201075,FALSE
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1234.607545868562,0.3210027877616569,FALSE
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1943.0619450520785,0.5052037007569914,FALSE
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4937.530150114146,1.2837771388549493,FALSE
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4269.445133150326,1.1100724230326378,FALSE
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5873.889091838086,1.5272341237444123,FALSE
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3785.556927074662,0.984259598030018,FALSE
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,914.0761776077384,0.23766337912034877,FALSE
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,3876.90766013122,1.0080111456966057,FALSE
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4601.385934558856,1.196378328889559,FALSE
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2330.771650741789,0.6060097397165964,FALSE
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1353.3613368443296,0.3518792376003531,FALSE
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1903.9980153433617,0.4950469263395779,FALSE
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4705.839842931167,1.223536753355954,FALSE
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4419.312147251479,1.1490384324993475,FALSE
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,6015.304216657292,1.5640026089610584,FALSE
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,4205.150806919328,1.0933556468988193,FALSE
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,966.5527513718578,0.2513074934195302,FALSE
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,4187.455739682391,1.0887548602507102,FALSE
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,5039.4861615387335,1.3102861003511528,FALSE
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2564.2805345140355,0.6667229622372564,FALSE
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1156.0771381424734,0.3005845747930981,FALSE
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1655.6075478830744,0.4304644338908707,FALSE
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,9460.34479346752,1.175250203847189,FALSE
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,8876.734541372596,1.1027488222680015,FALSE
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,11215.69174934069,1.393315392035361,FALSE
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,12799.488866372534,1.5900690966074769,FALSE
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,3541.453988308426,0.4399516732782185,FALSE
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,10531.339096238406,1.3082988717477289,FALSE
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,8652.540726969191,1.0748974244774243,FALSE
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,5499.19193111102,0.6831597134277568,FALSE
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,4602.50712450018,0.5717653589129248,FALSE
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,6909.049161039816,0.8583050208179679,FALSE
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,6104.5020637300095,0.7583568518283003,FALSE
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,5204.654912344818,0.6465696420400262,FALSE
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,7154.572881271301,0.8888062138030927,FALSE
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,7064.48422425651,0.8776145802175956,FALSE
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2773.128508549177,0.3445032835607992,FALSE
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,5705.483998833036,0.7087871931798446,FALSE
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,6849.448548072029,0.8509008897773976,FALSE
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,2252.384029883193,0.27981166099677884,FALSE
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,2627.812989699721,0.3264508661406741,FALSE
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,3715.662715153895,0.4615934681817691,FALSE
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,8834.054153809055,1.0974466757522672,FALSE
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,6778.495835288597,0.8420864974922646,FALSE
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,10378.461047965517,1.2893069680360865,FALSE
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,9444.81723088225,1.173321228583392,FALSE
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2864.882480897877,0.35590179778631237,FALSE
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,4801.153043968762,0.5964429644807546,FALSE
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,7506.377184419779,0.9325105489003784,FALSE
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,7966.482210189374,0.9896689862651792,FALSE
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,3220.260633330188,0.4000501089955728,FALSE
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,7482.423221244693,0.9295347693998356,FALSE
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,4849.228072772143,0.6024152824707021,FALSE
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,3663.2797567176062,0.45508597993219946,FALSE
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,5196.424532595896,0.6455471892976761,FALSE
