X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr
18,pHSP26-mCherry-tRPS3_biorep3,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep3,11765.34062004398
19,pHSP26-mCherry-tSRO9_biorep3,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep3,6715.173181423771
20,pHSP26-mCherry-tSUN4_biorep3,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep3,5302.863649739794
21,pPGK1-mCherry-tCLN2_biorep3,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep3,6166.2421971044505
22,pPGK1-mCherry-tHSP26_biorep3,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep3,5504.4211136868735
23,pPGK1-mCherry-tPAB1_biorep3,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep3,5073.919177655639
24,pPGK1-mCherry-tPGK1_biorep3,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep3,4948.786919090756
25,pPGK1-mCherry-tPMA1_biorep3,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep3,1356.3553326638605
26,pPGK1-mCherry-tRPS13_biorep3,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep3,4212.1848776523975
27,pPGK1-mCherry-tRPS3_biorep3,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep3,5762.450176261549
28,pPGK1-mCherry-tSRO9_biorep3,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep3,2007.6207617260263
29,pPGK1-mCherry-tSUN4_biorep3,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep3,2770.0871672674425
30,pPGK1-mCherry-tTOS6_biorep3,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep3,2852.2216857445337
31,pRPS13-mCherry-tCLN2_biorep3,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep3,4517.601573440978
32,pRPS13-mCherry-tHSP26_biorep3,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep3,3702.19813326978
33,pRPS13-mCherry-tPAB1_biorep3,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep3,4252.961774350259
34,pRPS13-mCherry-tPGK1_biorep3,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep3,3293.965374743763
35,pRPS13-mCherry-tPMA1_biorep3,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep3,790.846220119786
36,pRPS13-mCherry-tRPS13_biorep3,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep3,4617.546960167612
37,pRPS13-mCherry-tRPS3_biorep3,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep3,4536.196723296192
38,pRPS13-mCherry-tSRO9_biorep3,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep3,1580.063543861915
39,pRPS13-mCherry-tSUN4_biorep3,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep3,1288.017556469336
40,pRPS13-mCherry-tTOS6_biorep3,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep3,1764.1523802658166
41,pRPS3-mCherry-tCLN2_biorep3,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep3,3696.7267230986154
