X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
44,pRPS3-mCherry-tPGK1_biorep2,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep2,3283.2732414254915,1.045306586273298,FALSE
45,pRPS3-mCherry-tPMA1_biorep2,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep2,935.87204069027,0.29795668411010356,FALSE
46,pRPS3-mCherry-tRPS13_biorep2,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep2,5136.670732267903,1.6353788896429786,FALSE
47,pRPS3-mCherry-tRPS3_biorep2,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep2,6694.095437294593,2.1312213560111837,FALSE
48,pRPS3-mCherry-tSRO9_biorep2,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep2,1420.0593916346995,0.4521090161629455,FALSE
49,pRPS3-mCherry-tSUN4_biorep2,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep2,1135.3200183517988,0.3614555979495039,FALSE
50,pRPS3-mCherry-tTOS6_biorep2,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep2,1724.359893956492,0.5489901758757263,FALSE
41,pRPS3-mCherry-tCLN2_biorep3,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep3,3696.7267230986154,1.17693914187592,FALSE
42,pRPS3-mCherry-tHSP26_biorep3,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep3,2052.167557858907,0.6533553885496756,FALSE
43,pRPS3-mCherry-tPAB1_biorep3,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep3,3785.467906120943,1.2051919665012167,FALSE
44,pRPS3-mCherry-tPGK1_biorep3,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep3,2427.3151900590187,0.772792383867602,FALSE
45,pRPS3-mCherry-tPMA1_biorep3,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep3,790.0253173070587,0.251522979289161,FALSE
46,pRPS3-mCherry-tRPS13_biorep3,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep3,3701.976206319551,1.1786104372515656,FALSE
47,pRPS3-mCherry-tRPS3_biorep3,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep3,4804.46481674309,1.5296133910193335,FALSE
48,pRPS3-mCherry-tSRO9_biorep3,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep3,1378.8439811702958,0.4389871292999156,FALSE
49,pRPS3-mCherry-tSUN4_biorep3,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep3,1071.9860443127145,0.3412917506758077,FALSE
50,pRPS3-mCherry-tTOS6_biorep3,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep3,1516.1277274041918,0.48269461069864894,FALSE
